Year,Host_Country,Winner,Runner_Up,Third_Place,Fourth_Place,Total_Goals,Matches_Played,Teams,Goals_Per_Match
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,18,13,3.89
1934,Italy,Italy,Czechoslovakia,Germany,Austria,70,17,16,4.12
1938,France,Italy,Hungary,Brazil,Sweden,84,18,15,4.67
1950,Brazil,Uruguay,Brazil,Sweden,Spain,88,22,13,4.0
1954,Switzerland,West Germany,Hungary,Austria,Uruguay,140,26,16,5.38
1958,Sweden,Brazil,Sweden,France,West Germany,126,35,16,3.6
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89,32,16,2.78
1966,England,England,West Germany,Portugal,Soviet Union,89,32,16,2.78
1970,Mexico,Brazil,Italy,West Germany,Uruguay,95,32,16,2.97
1974,West Germany,West Germany,Netherlands,Poland,Brazil,97,38,16,2.55
1978,Argentina,Argentina,Netherlands,Brazil,Italy,102,38,16,2.68
1982,Spain,Italy,West Germany,Poland,France,146,52,24,2.81
1986,Mexico,Argentina,West Germany,France,Belgium,132,52,24,2.54
1990,Italy,West Germany,Argentina,Italy,England,115,52,24,2.21
1994,United States,Brazil,Italy,Sweden,Bulgaria,141,52,24,2.71
1998,France,France,Brazil,Croatia,Netherlands,171,64,32,2.67
2002,South Korea / Japan,Brazil,Germany,Turkey,South Korea,161,64,32,2.52
2006,Germany,Italy,France,Germany,Portugal,147,64,32,2.3
2010,South Africa,Spain,Netherlands,Germany,Uruguay,145,64,32,2.27
2014,Brazil,Germany,Argentina,Netherlands,Brazil,171,64,32,2.67
2018,Russia,France,Croatia,Belgium,England,169,64,32,2.64
2022,Qatar,Argentina,France,Croatia,Morocco,172,64,32,2.69
