customer_id,age,subscription_type,monthly_charge,tenure_months,support_calls,avg_call_duration,contract_type,late_payment,churned
C1001,34,Basic,29.99,12,3,5.2,Month-to-month,No,No
C1002,45,Premium,49.99,36,1,8.7,Annual,No,No
C1003,28,Basic,29.99,3,8,12.5,Month-to-month,Yes,Yes
C1004,52,Premium,49.99,48,2,6.3,Annual,No,No
C1005,31,Standard,39.99,8,5,9.1,Month-to-month,Yes,Yes
C1006,29,Basic,29.99,1,10,15.2,Month-to-month,Yes,Yes
C1007,41,Premium,49.99,24,1,4.8,Annual,No,No
C1008,37,Standard,39.99,15,4,7.6,Month-to-month,No,No
C1009,56,Premium,49.99,60,0,0,Two-year,No,No
C1010,33,Standard,39.99,6,6,11.3,Month-to-month,Yes,Yes
C1011,44,Basic,29.99,18,2,4.2,Annual,No,No
C1012,26,Premium,49.99,2,9,14.8,Month-to-month,Yes,Yes
C1013,49,Standard,39.99,30,3,5.9,Annual,No,No
C1014,38,Basic,29.99,9,4,6.7,Month-to-month,No,No
C1015,61,Premium,49.99,72,1,3.9,Two-year,No,No
