EmployeeID,Age,Department,Education,YearsAtCompany,Salary,PerformanceRating,WorkLifeBalance,JobSatisfaction,Attrition
E001,32,Sales,Bachelor,5,55000,3,3,4,No
E002,28,Engineering,Master,2,72000,4,2,3,No
E003,45,Sales,Bachelor,12,48000,2,4,2,Yes
E004,35,HR,Bachelor,8,62000,3,3,4,No
E005,29,Engineering,PhD,3,85000,5,2,5,No
E006,42,Sales,Bachelor,15,52000,2,4,1,Yes
E007,31,Marketing,Master,6,68000,4,3,4,No
E008,38,Engineering,Bachelor,10,78000,4,2,4,No
E009,27,Sales,Bachelor,1,45000,3,3,3,Yes
E010,33,HR,Master,7,65000,3,4,4,No
E011,44,Sales,Bachelor,18,50000,2,4,2,Yes
E012,30,Engineering,Master,4,76000,4,2,4,No
E013,36,Marketing,Bachelor,9,70000,3,3,4,No
E014,26,Sales,Bachelor,1,43000,3,3,2,Yes
E015,41,Engineering,PhD,14,92000,5,2,5,No
E016,34,HR,Bachelor,7,63000,3,3,4,No
E017,28,Sales,Bachelor,2,46000,3,3,3,Yes
E018,39,Marketing,Master,11,73000,4,3,4,No
E019,31,Engineering,Bachelor,5,74000,4,2,4,No
E020,43,Sales,Bachelor,16,51000,2,4,1,Yes
E021,29,HR,Master,3,61000,3,3,4,No
E022,37,Engineering,Master,9,80000,4,2,4,No
E023,25,Sales,Bachelor,1,44000,3,3,2,Yes
E024,32,Marketing,Bachelor,6,69000,3,3,4,No
E025,40,Engineering,PhD,12,88000,5,2,5,No
E026,33,Sales,Bachelor,8,49000,2,4,2,Yes
E027,30,HR,Bachelor,4,60000,3,3,4,No
E028,35,Engineering,Master,8,77000,4,2,4,No
E029,27,Sales,Bachelor,2,45000,3,3,3,Yes
E030,38,Marketing,Master,10,72000,4,3,4,No
E031,42,Sales,Bachelor,14,51000,2,4,1,Yes
E032,31,Engineering,Bachelor,6,75000,4,2,4,No
E033,36,HR,Master,8,64000,3,3,4,No
E034,28,Sales,Bachelor,2,46000,3,3,2,Yes
E035,44,Engineering,PhD,16,94000,5,2,5,No
E036,34,Marketing,Bachelor,7,70000,3,3,4,No
E037,29,Sales,Bachelor,3,47000,3,3,3,Yes
E038,39,Engineering,Master,11,81000,4,2,4,No
E039,32,HR,Bachelor,6,62000,3,3,4,No
E040,41,Sales,Bachelor,13,50000,2,4,1,Yes
E041,30,Engineering,Master,5,76000,4,2,4,No
E042,37,Marketing,Master,9,73000,4,3,4,No
E043,26,Sales,Bachelor,1,44000,3,3,2,Yes
E044,33,Engineering,Bachelor,7,74000,4,2,4,No
E045,40,HR,Master,10,66000,3,3,4,No
E046,28,Sales,Bachelor,2,45000,3,3,3,Yes
E047,36,Engineering,PhD,10,87000,5,2,5,No
E048,31,Marketing,Bachelor,5,68000,3,3,4,No
E049,43,Sales,Bachelor,17,52000,2,4,1,Yes
E050,29,Engineering,Master,4,75000,4,2,4,No
E051,38,HR,Bachelor,9,63000,3,3,4,No
E052,27,Sales,Bachelor,1,43000,3,3,2,Yes
E053,34,Engineering,Master,8,79000,4,2,4,No
E054,41,Marketing,Master,12,74000,4,3,4,No
E055,30,Sales,Bachelor,4,48000,3,3,3,Yes
E056,35,Engineering,Bachelor,8,76000,4,2,4,No
E057,39,HR,Master,10,65000,3,3,4,No
E058,26,Sales,Bachelor,1,44000,3,3,2,Yes
E059,42,Engineering,PhD,15,91000,5,2,5,No
E060,32,Marketing,Bachelor,6,69000,3,3,4,No
E061,37,Sales,Bachelor,11,49000,2,4,2,Yes
E062,29,Engineering,Master,4,74000,4,2,4,No
E063,33,HR,Bachelor,7,61000,3,3,4,No
E064,40,Sales,Bachelor,14,51000,2,4,1,Yes
E065,28,Engineering,Bachelor,3,73000,4,2,4,No
E066,36,Marketing,Master,9,72000,4,3,4,No
E067,31,Sales,Bachelor,5,47000,3,3,3,Yes
E068,44,Engineering,PhD,17,95000,5,2,5,No
E069,34,HR,Master,8,64000,3,3,4,No
E070,27,Sales,Bachelor,2,45000,3,3,2,Yes
E071,38,Engineering,Master,10,80000,4,2,4,No
E072,32,Marketing,Bachelor,6,70000,3,3,4,No
E073,41,Sales,Bachelor,15,50000,2,4,1,Yes
E074,30,Engineering,Bachelor,5,75000,4,2,4,No
E075,35,HR,Bachelor,8,62000,3,3,4,No
E076,28,Sales,Bachelor,2,46000,3,3,3,Yes
E077,43,Engineering,Master,16,89000,5,2,5,No
E078,33,Marketing,Master,7,71000,4,3,4,No
E079,39,Sales,Bachelor,13,51000,2,4,2,Yes
E080,29,Engineering,Bachelor,4,74000,4,2,4,No
E081,36,HR,Master,9,65000,3,3,4,No
E082,26,Sales,Bachelor,1,43000,3,3,2,Yes
E083,42,Engineering,PhD,14,92000,5,2,5,No
E084,31,Marketing,Bachelor,5,68000,3,3,4,No
E085,37,Sales,Bachelor,12,49000,2,4,1,Yes
E086,30,Engineering,Master,5,76000,4,2,4,No
E087,34,HR,Bachelor,7,62000,3,3,4,No
E088,40,Sales,Bachelor,16,52000,2,4,2,Yes
E089,28,Engineering,Bachelor,3,73000,4,2,4,No
E090,35,Marketing,Master,8,72000,4,3,4,No
E091,32,Sales,Bachelor,6,48000,3,3,3,Yes
E092,45,Engineering,PhD,18,96000,5,2,5,No
E093,33,HR,Master,7,63000,3,3,4,No
E094,27,Sales,Bachelor,1,44000,3,3,2,Yes
E095,38,Engineering,Master,11,81000,4,2,4,No
E096,31,Marketing,Bachelor,5,69000,3,3,4,No
E097,41,Sales,Bachelor,14,50000,2,4,1,Yes
E098,29,Engineering,Bachelor,4,74000,4,2,4,No
E099,36,HR,Bachelor,9,63000,3,3,4,No
E100,28,Sales,Bachelor,2,45000,3,3,3,Yes
E101,43,Engineering,Master,15,88000,5,2,5,No
E102,34,Marketing,Master,7,71000,4,3,4,No
E103,39,Sales,Bachelor,13,51000,2,4,2,Yes
E104,30,Engineering,Bachelor,5,75000,4,2,4,No
E105,35,HR,Master,8,64000,3,3,4,No
E106,27,Sales,Bachelor,1,43000,3,3,2,Yes
E107,42,Engineering,PhD,16,93000,5,2,5,No
E108,32,Marketing,Bachelor,6,69000,3,3,4,No
E109,37,Sales,Bachelor,11,49000,2,4,1,Yes
E110,29,Engineering,Master,4,76000,4,2,4,No
E111,33,HR,Bachelor,7,61000,3,3,4,No
E112,40,Sales,Bachelor,15,52000,2,4,2,Yes
E113,28,Engineering,Bachelor,3,73000,4,2,4,No
E114,36,Marketing,Master,9,72000,4,3,4,No
E115,31,Sales,Bachelor,5,47000,3,3,3,Yes
E116,44,Engineering,PhD,17,94000,5,2,5,No
E117,34,HR,Master,8,64000,3,3,4,No
E118,26,Sales,Bachelor,1,44000,3,3,2,Yes
E119,38,Engineering,Master,10,80000,4,2,4,No
E120,32,Marketing,Bachelor,6,70000,3,3,4,No
E121,41,Sales,Bachelor,14,50000,2,4,1,Yes
E122,30,Engineering,Bachelor,5,75000,4,2,4,No
E123,35,HR,Bachelor,8,62000,3,3,4,No
E124,28,Sales,Bachelor,2,46000,3,3,3,Yes
E125,43,Engineering,Master,16,89000,5,2,5,No
E126,33,Marketing,Master,7,71000,4,3,4,No
E127,39,Sales,Bachelor,12,51000,2,4,2,Yes
E128,29,Engineering,Bachelor,4,74000,4,2,4,No
E129,36,HR,Master,9,65000,3,3,4,No
E130,27,Sales,Bachelor,1,43000,3,3,2,Yes
E131,42,Engineering,PhD,14,92000,5,2,5,No
E132,31,Marketing,Bachelor,5,68000,3,3,4,No
E133,37,Sales,Bachelor,13,49000,2,4,1,Yes
E134,30,Engineering,Master,5,76000,4,2,4,No
E135,34,HR,Bachelor,7,62000,3,3,4,No
E136,40,Sales,Bachelor,16,52000,2,4,2,Yes
E137,28,Engineering,Bachelor,3,73000,4,2,4,No
E138,35,Marketing,Master,8,72000,4,3,4,No
E139,32,Sales,Bachelor,6,48000,3,3,3,Yes
