transaction_id,date,store_city,product_category,units_sold,unit_price,total_sales,customer_age,customer_gender,payment_method
T1001,2024-01-15,Paris,Electronics,2,450,900,34,M,Card
T1002,2024-01-15,Lyon,Clothing,3,35,105,28,F,Card
T1003,2024-01-16,Paris,Food,5,8,40,45,M,Cash
T1004,2024-01-16,Marseille,Electronics,1,899,899,51,M,Card
T1005,2024-01-17,Lyon,Food,8,6,48,23,F,Card
T1006,2024-01-17,Paris,Clothing,2,45,90,37,F,Cash
T1007,2024-01-18,Marseille,Electronics,1,650,650,42,M,Card
T1008,2024-01-18,Paris,Food,12,5,60,29,F,Card
T1009,2024-01-19,Lyon,Clothing,4,40,160,33,M,Cash
T1010,2024-01-19,Paris,Electronics,1,1200,1200,56,M,Card
T1011,2024-01-20,Marseille,Food,6,7,42,27,F,Card
T1012,2024-01-20,Paris,Clothing,3,38,114,41,F,Cash
T1013,2024-01-21,Lyon,Electronics,1,550,550,39,F,Card
T1014,2024-01-21,Paris,Food,4,9,36,52,M,Cash
T1015,2024-01-22,Marseille,Clothing,2,42,84,24,F,Card
