EmployeeID,Age,Department,Education,YearsAtCompany,Salary,PerformanceRating,WorkLifeBalance,JobSatisfaction,Attrition,JobSatisfaction_outlier
E001,32,Sales,Bachelor,5,55000,3,3,4,No,False
E002,28,Engineering,Master,2,72000,4,2,3,No,False
E003,45,Sales,Bachelor,12,48000,2,4,2,Yes,False
E004,35,HR,Bachelor,8,62000,3,3,4,No,False
E005,29,Engineering,PhD,3,85000,5,2,5,No,False
E006,42,Sales,Bachelor,15,52000,2,4,1,Yes,True
E007,31,Marketing,Master,6,68000,4,3,4,No,False
E008,38,Engineering,Bachelor,10,78000,4,2,4,No,False
E009,27,Sales,Bachelor,1,45000,3,3,3,Yes,False
E010,33,HR,Master,7,65000,3,4,4,No,False
E011,44,Sales,Bachelor,18,50000,2,4,2,Yes,False
E012,30,Engineering,Master,4,76000,4,2,4,No,False
E013,36,Marketing,Bachelor,9,70000,3,3,4,No,False
E014,26,Sales,Bachelor,1,43000,3,3,2,Yes,False
E015,41,Engineering,PhD,14,92000,5,2,5,No,False
E016,34,HR,Bachelor,7,63000,3,3,4,No,False
E017,28,Sales,Bachelor,2,46000,3,3,3,Yes,False
E018,39,Marketing,Master,11,73000,4,3,4,No,False
E019,31,Engineering,Bachelor,5,74000,4,2,4,No,False
E020,43,Sales,Bachelor,16,51000,2,4,1,Yes,True
E021,29,HR,Master,3,61000,3,3,4,No,False
E022,37,Engineering,Master,9,80000,4,2,4,No,False
E023,25,Sales,Bachelor,1,44000,3,3,2,Yes,False
E024,32,Marketing,Bachelor,6,69000,3,3,4,No,False
E025,40,Engineering,PhD,12,88000,5,2,5,No,False
E026,33,Sales,Bachelor,8,49000,2,4,2,Yes,False
E027,30,HR,Bachelor,4,60000,3,3,4,No,False
E028,35,Engineering,Master,8,77000,4,2,4,No,False
E029,27,Sales,Bachelor,2,45000,3,3,3,Yes,False
E030,38,Marketing,Master,10,72000,4,3,4,No,False
E031,42,Sales,Bachelor,14,51000,2,4,1,Yes,True
E032,31,Engineering,Bachelor,6,75000,4,2,4,No,False
E033,36,HR,Master,8,64000,3,3,4,No,False
E034,28,Sales,Bachelor,2,46000,3,3,2,Yes,False
E035,44,Engineering,PhD,16,94000,5,2,5,No,False
E036,34,Marketing,Bachelor,7,70000,3,3,4,No,False
E037,29,Sales,Bachelor,3,47000,3,3,3,Yes,False
E038,39,Engineering,Master,11,81000,4,2,4,No,False
E039,32,HR,Bachelor,6,62000,3,3,4,No,False
E040,41,Sales,Bachelor,13,50000,2,4,1,Yes,True
