id,country,job_role,ai_specialization,experience_level,experience_years,salary_usd,bonus_usd,education_required,industry,company_size,interview_rounds,year,work_mode,weekly_hours,company_rating,job_openings,hiring_difficulty_score,layoff_risk,ai_adoption_score,company_funding_billion,economic_index,ai_maturity_years,offer_acceptance_rate,tax_rate_percent,vacation_days,skill_demand_score,automation_risk,job_security_score,career_growth_score,work_life_balance_score,promotion_speed,salary_percentile,cost_of_living_index,employee_satisfaction
1,UAE,Machine Learning Engineer,Reinforcement Learning,Entry,0,66465,5395,Master,Automotive,Small,7,2020,Remote,44.7,3.67,10,52.76535075509017,0.404,91,3.3,78.65,13,60.58,20.8,27,12,76,57,65,73,15,55,1.23,76
2,USA,AI Engineer,LLM,Entry,1,75507,11713,Bootcamp,Retail,Small,3,2021,Onsite,48.9,4.26,27,53.11458013052023,0.387,71,4.39,62.14,13,75.8,28.4,27,54,29,69,60,51,15,58,0.87,67
3,Brazil,Research Scientist,Analytics,Entry,0,41660,5268,PhD,Healthcare,Large,3,2020,Remote,46.8,4.78,10,76.395263075751,0.415,69,5.04,87.47,8,62.95,12.2,13,12,49,70,59,68,37,13,2.13,61
4,India,Software Engineer AI,Computer Vision,Senior,6,43268,7975,Diploma,Tech,Large,2,2026,Onsite,52.2,4.34,23,59.34019892656833,0.115,74,4.38,86.84,7,77.45,35.1,30,80,47,79,65,55,46,74,1.49,56
5,Germany,Machine Learning Engineer,Computer Vision,Entry,0,69119,4758,Master,Retail,Medium,2,2021,Hybrid,46.7,4.49,17,72.30112779553039,0.311,68,6.67,79.84,7,89.86,36.1,24,82,47,64,52,69,17,21,0.87,72
6,India,Software Engineer AI,NLP,Mid,3,37712,3964,Bootcamp,Automotive,Startup,7,2022,Remote,48.3,3.72,15,63.29720107756528,0.164,59,0.2,73.53,5,83.12,22.9,24,49,35,55,37,48,38,82,2.44,63
7,Japan,Data Analyst,LLM,Senior,9,71014,11956,PhD,Tech,Small,5,2020,Hybrid,36.6,4.37,17,61.20824203080511,0.042,78,3.41,65.23,4,80.29,31.0,16,73,92,93,42,96,67,41,1.57,80
8,Germany,Computer Vision Engineer,MLOps,Lead,19,194659,14720,Master,Consulting,Small,3,2021,Onsite,40.2,4.77,14,70.43505852858603,0.177,73,6.81,73.41,11,65.43,41.9,27,34,96,84,66,77,57,75,2.43,81
9,Australia,NLP Engineer,Forecasting,Senior,10,153176,24144,Bachelor,Retail,Small,2,2024,Remote,52.9,3.56,7,64.39494818110416,0.117,54,7.45,84.17,5,64.49,21.8,30,21,88,79,56,56,50,55,1.99,85
10,Brazil,Machine Learning Engineer,Forecasting,Lead,19,102716,17724,Bootcamp,Telecom,Enterprise,4,2023,Onsite,40.8,4.36,2,95.92021284431468,0.104,77,5.69,60.44,3,55.97,31.4,13,88,69,84,66,86,31,97,0.85,83
11,France,Software Engineer AI,NLP,Entry,1,62612,6106,Diploma,Automotive,Large,2,2026,Onsite,46.5,4.03,22,52.70311370293526,0.4,76,5.52,93.26,14,84.63,32.9,18,65,98,58,58,70,45,23,1.9,61
12,Singapore,Machine Learning Engineer,Reinforcement Learning,Senior,10,133183,16163,Master,Energy,Enterprise,4,2021,Remote,37.3,4.52,6,33.70121881382046,0.149,81,3.89,64.81,11,60.08,27.7,26,1,77,80,57,95,62,42,2.04,82
13,Netherlands,AI Engineer,Reinforcement Learning,Entry,1,81093,10358,Bachelor,Gaming,Medium,3,2023,Onsite,38.6,3.85,21,84.94785621006852,0.41,66,1.43,54.53,4,61.26,19.5,12,94,63,60,41,79,55,9,1.6,71
